SeniorCitizen_scaled,tenure_scaled,MonthlyCharges_scaled,TotalCharges_scaled,Partner_indexed,Dependents_indexed,PhoneService_indexed,MultipleLines_indexed,InternetService_indexed,OnlineSecurity_indexed,OnlineBackup_indexed,DeviceProtection_indexed,TechSupport_indexed,StreamingTV_indexed,StreamingMovies_indexed,Contract_indexed,PaperlessBilling_indexed,PaymentMethod_indexed
-0.44137356,-0.02473882,0.8678765956048551,0.2536603370013347,0,0,0,0,0,0,0,0,0,1,1,0,1,0
-0.44137356,1.077367718743414,0.5033251086968598,1.0572930125174869,1,0,0,1,1,0,1,0,1,1,1,2,0,0
-0.44137356,1.5263740862867008,1.6519119852562967,2.464234710944047,0,1,0,1,0,1,1,1,1,1,1,1,0,0
-0.44137356,0.9140926760004007,0.683103924,1.0662041285329813,1,1,0,1,0,0,0,0,0,0,1,0,1,2
-0.44137356,-0.718657751,-1.479235717,-0.882529012,1,1,0,0,2,2,2,2,2,2,2,2,1,1
-0.44137356,-0.228832623,-1.517521947,-0.779367404,0,0,0,0,2,2,2,2,2,2,2,0,0,0
-0.44137356,-0.473745187,-1.296127665,-0.763508265,1,1,1,2,1,0,0,0,0,0,0,0,0,0
-0.44137356,-0.392107666,0.6464823136013697,-0.158655236,1,1,0,0,0,1,1,0,1,0,0,0,1,1
-0.44137356,-0.881932794,0.9727475712907169,-0.571985442,0,0,0,0,0,0,1,1,1,0,1,0,0,0
-0.44137356,1.4447365649151942,1.0027107072009627,1.9352585122222934,1,1,0,0,0,1,1,0,1,0,1,1,1,2
-0.44137356,0.832455155,1.090935496270021,1.2116935375384308,1,0,0,1,0,0,1,0,1,0,1,2,1,2
-0.44137356,-0.759476512,-1.484229573,-0.884095075,1,0,0,0,2,2,2,2,2,2,2,1,1,1
-0.44137356,1.403917804229441,1.5420471535853941,2.325141895118037,1,0,0,1,0,0,1,1,1,1,1,1,0,2
-0.44137356,-0.963570316,-1.489223429,-0.937054455,1,1,0,0,2,2,2,2,2,2,2,2,1,1
2.2653304369166998,1.567192846972454,-0.620292488,0.46624780273731425,1,0,1,2,1,1,1,1,1,0,0,1,1,3
2.2653304369166998,1.4855553256009475,-1.487558811,-0.414761593,0,0,0,0,2,2,2,2,2,2,2,1,1,3
-0.44137356,-1.20848288,-0.673560285,-0.947774263,0,0,0,0,1,0,0,0,0,0,0,0,1,1
